resourceId,sqlVerb,ref,path,tokens,operationId,respSchema
azuread.applications.application,select,list_application,/applications,,applications.application.ListApplication,applicationCollectionResponse
azuread.applications.application,select,get_application,/applications/{application_id},application_id,applications.application.GetApplication,application
azuread.applications.application,select,get_application_by_app_id,/applications(appId='{app_id}'),app_id,applications.application.GetApplicationByAppId,application
azuread.applications.application,insert,create_application,/applications,,applications.application.CreateApplication,
azuread.applications.application,delete,delete_application,/applications/{application_id},{application_id},applications.application.DeleteApplication,
azuread.applications.application,delete,delete_application_by_app_id,/applications(appId='{app_id}'),{app_id},applications.application.DeleteApplicationByAppId,
azuread.applications.app_management_policy,select,list_app_management_policies,/applications/{application_id}/appManagementPolicies,application_id,applications.ListAppManagementPolicies,appManagementPolicyCollectionResponse
azuread.applications.directory_object,select,get_created_on_behalf_of,/applications/{application_id}/createdOnBehalfOf,application_id,applications.GetCreatedOnBehalfOf,directoryObject
azuread.applications.directory_object,select,list_owners,/applications/{application_id}/owners,application_id,applications.ListOwners,directoryObjectCollectionResponse
azuread.applications.extension_property,select,list_extension_properties,/applications/{application_id}/extensionProperties,application_id,applications.ListExtensionProperties,extensionPropertyCollectionResponse
azuread.applications.extension_property,select,get_extension_properties,/applications/{application_id}/extensionProperties/{extension_property_id},"application_id,extension_property_id",applications.GetExtensionProperties,extensionProperty
azuread.applications.extension_property,insert,create_extension_properties,/applications/{application_id}/extensionProperties,{application_id},applications.CreateExtensionProperties,
azuread.applications.extension_property,delete,delete_extension_properties,/applications/{application_id}/extensionProperties/{extension_property_id},"{application_id},{extension_property_id}",applications.DeleteExtensionProperties,
azuread.applications.federated_identity_credential,select,list_federated_identity_credentials,/applications/{application_id}/federatedIdentityCredentials,application_id,applications.ListFederatedIdentityCredentials,federatedIdentityCredentialCollectionResponse
azuread.applications.federated_identity_credential,select,get_federated_identity_credentials,/applications/{application_id}/federatedIdentityCredentials/{federated_identity_credential_id},"application_id,federated_identity_credential_id",applications.GetFederatedIdentityCredentials,federatedIdentityCredential
azuread.applications.federated_identity_credential,insert,create_federated_identity_credentials,/applications/{application_id}/federatedIdentityCredentials,{application_id},applications.CreateFederatedIdentityCredentials,
azuread.applications.federated_identity_credential,delete,delete_federated_identity_credentials,/applications/{application_id}/federatedIdentityCredentials/{federated_identity_credential_id},"{application_id},{federated_identity_credential_id}",applications.DeleteFederatedIdentityCredentials,
azuread.applications.home_realm_discovery_policy,select,list_home_realm_discovery_policies,/applications/{application_id}/homeRealmDiscoveryPolicies,application_id,applications.ListHomeRealmDiscoveryPolicies,homeRealmDiscoveryPolicyCollectionResponse
azuread.applications.home_realm_discovery_policy,select,get_home_realm_discovery_policies,/applications/{application_id}/homeRealmDiscoveryPolicies/{home_realm_discovery_policy_id},"application_id,home_realm_discovery_policy_id",applications.GetHomeRealmDiscoveryPolicies,homeRealmDiscoveryPolicy
azuread.applications.synchronization,select,get_synchronization,/applications/{application_id}/synchronization,application_id,applications.GetSynchronization,synchronization
azuread.applications.synchronization,select,list_jobs,/applications/{application_id}/synchronization/jobs,application_id,applications.synchronization.ListJobs,synchronizationJobCollectionResponse
azuread.applications.synchronization,select,get_jobs,/applications/{application_id}/synchronization/jobs/{synchronization_job_id},"application_id,synchronization_job_id",applications.synchronization.GetJobs,synchronizationJob
azuread.applications.synchronization,select,get_schema,/applications/{application_id}/synchronization/jobs/{synchronization_job_id}/schema,"application_id,synchronization_job_id",applications.synchronization.jobs.GetSchema,synchronizationSchema
azuread.applications.synchronization,select,list_directories,/applications/{application_id}/synchronization/jobs/{synchronization_job_id}/schema/directories,"application_id,synchronization_job_id",applications.synchronization.jobs.schema.ListDirectories,directoryDefinitionCollectionResponse
azuread.applications.synchronization,select,get_directories,/applications/{application_id}/synchronization/jobs/{synchronization_job_id}/schema/directories/{directory_definition_id},"application_id,synchronization_job_id,directory_definition_id",applications.synchronization.jobs.schema.GetDirectories,directoryDefinition
azuread.applications.synchronization,select,list_templates,/applications/{application_id}/synchronization/templates,application_id,applications.synchronization.ListTemplates,synchronizationTemplateCollectionResponse
azuread.applications.synchronization,select,get_templates,/applications/{application_id}/synchronization/templates/{synchronization_template_id},"application_id,synchronization_template_id",applications.synchronization.GetTemplates,synchronizationTemplate
azuread.applications.synchronization,select,get_schema,/applications/{application_id}/synchronization/templates/{synchronization_template_id}/schema,"application_id,synchronization_template_id",applications.synchronization.templates.GetSchema,synchronizationSchema
azuread.applications.synchronization,select,list_directories,/applications/{application_id}/synchronization/templates/{synchronization_template_id}/schema/directories,"application_id,synchronization_template_id",applications.synchronization.templates.schema.ListDirectories,directoryDefinitionCollectionResponse
azuread.applications.synchronization,select,get_directories,/applications/{application_id}/synchronization/templates/{synchronization_template_id}/schema/directories/{directory_definition_id},"application_id,synchronization_template_id,directory_definition_id",applications.synchronization.templates.schema.GetDirectories,directoryDefinition
azuread.applications.synchronization,insert,create_jobs,/applications/{application_id}/synchronization/jobs,{application_id},applications.synchronization.CreateJobs,
azuread.applications.synchronization,insert,create_directories,/applications/{application_id}/synchronization/jobs/{synchronization_job_id}/schema/directories,"{application_id},{synchronization_job_id}",applications.synchronization.jobs.schema.CreateDirectories,
azuread.applications.synchronization,insert,create_templates,/applications/{application_id}/synchronization/templates,{application_id},applications.synchronization.CreateTemplates,
azuread.applications.synchronization,insert,create_directories,/applications/{application_id}/synchronization/templates/{synchronization_template_id}/schema/directories,"{application_id},{synchronization_template_id}",applications.synchronization.templates.schema.CreateDirectories,
azuread.applications.synchronization,delete,delete_synchronization,/applications/{application_id}/synchronization,{application_id},applications.DeleteSynchronization,
azuread.applications.synchronization,delete,delete_jobs,/applications/{application_id}/synchronization/jobs/{synchronization_job_id},"{application_id},{synchronization_job_id}",applications.synchronization.DeleteJobs,
azuread.applications.synchronization,delete,delete_schema,/applications/{application_id}/synchronization/jobs/{synchronization_job_id}/schema,"{application_id},{synchronization_job_id}",applications.synchronization.jobs.DeleteSchema,
azuread.applications.synchronization,delete,delete_directories,/applications/{application_id}/synchronization/jobs/{synchronization_job_id}/schema/directories/{directory_definition_id},"{application_id},{synchronization_job_id},{directory_definition_id}",applications.synchronization.jobs.schema.DeleteDirectories,
azuread.applications.synchronization,delete,delete_templates,/applications/{application_id}/synchronization/templates/{synchronization_template_id},"{application_id},{synchronization_template_id}",applications.synchronization.DeleteTemplates,
azuread.applications.synchronization,delete,delete_schema,/applications/{application_id}/synchronization/templates/{synchronization_template_id}/schema,"{application_id},{synchronization_template_id}",applications.synchronization.templates.DeleteSchema,
azuread.applications.synchronization,delete,delete_directories,/applications/{application_id}/synchronization/templates/{synchronization_template_id}/schema/directories/{directory_definition_id},"{application_id},{synchronization_template_id},{directory_definition_id}",applications.synchronization.templates.schema.DeleteDirectories,
azuread.applications.token_issuance_policy,select,list_token_issuance_policies,/applications/{application_id}/tokenIssuancePolicies,application_id,applications.ListTokenIssuancePolicies,tokenIssuancePolicyCollectionResponse
azuread.applications.token_lifetime_policy,select,list_token_lifetime_policies,/applications/{application_id}/tokenLifetimePolicies,application_id,applications.ListTokenLifetimePolicies,tokenLifetimePolicyCollectionResponse
