resourceId,sqlVerb,ref,path,operationId,respSchema
azuread.service_principals.owners,select,list_owners,/servicePrincipals/{service_principal_id}/owners,servicePrincipals.ListOwners,directoryObjectCollectionResponse
azuread.service_principals.synchronization,select,get_synchronization,/servicePrincipals/{service_principal_id}/synchronization,servicePrincipals.GetSynchronization,synchronization
azuread.service_principals.synchronization,delete,delete_synchronization,/servicePrincipals/{service_principal_id}/synchronization,servicePrincipals.DeleteSynchronization,
azuread.service_principals.synchronization_jobs,select,list_jobs,/servicePrincipals/{service_principal_id}/synchronization/jobs,servicePrincipals.synchronization.ListJobs,synchronizationJobCollectionResponse
azuread.service_principals.synchronization_jobs,select,get_jobs,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id},servicePrincipals.synchronization.GetJobs,synchronizationJob
azuread.service_principals.synchronization_jobs,insert,create_jobs,/servicePrincipals/{service_principal_id}/synchronization/jobs,servicePrincipals.synchronization.CreateJobs,
azuread.service_principals.synchronization_jobs,delete,delete_jobs,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id},servicePrincipals.synchronization.DeleteJobs,
azuread.service_principals.synchronization_jobs_schema,select,get_schema,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id}/schema,servicePrincipals.synchronization.jobs.GetSchema,synchronizationSchema
azuread.service_principals.synchronization_jobs_schema,delete,delete_schema,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id}/schema,servicePrincipals.synchronization.jobs.DeleteSchema,
azuread.service_principals.synchronization_jobs_schema_directories,select,list_directories,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id}/schema/directories,servicePrincipals.synchronization.jobs.schema.ListDirectories,directoryDefinitionCollectionResponse
azuread.service_principals.synchronization_jobs_schema_directories,select,get_directories,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id}/schema/directories/{directory_definition_id},servicePrincipals.synchronization.jobs.schema.GetDirectories,directoryDefinition
azuread.service_principals.synchronization_jobs_schema_directories,insert,create_directories,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id}/schema/directories,servicePrincipals.synchronization.jobs.schema.CreateDirectories,
azuread.service_principals.synchronization_jobs_schema_directories,delete,delete_directories,/servicePrincipals/{service_principal_id}/synchronization/jobs/{synchronization_job_id}/schema/directories/{directory_definition_id},servicePrincipals.synchronization.jobs.schema.DeleteDirectories,
azuread.service_principals.synchronization_templates,select,list_templates,/servicePrincipals/{service_principal_id}/synchronization/templates,servicePrincipals.synchronization.ListTemplates,synchronizationTemplateCollectionResponse
azuread.service_principals.synchronization_templates,select,get_templates,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id},servicePrincipals.synchronization.GetTemplates,synchronizationTemplate
azuread.service_principals.synchronization_templates,insert,create_templates,/servicePrincipals/{service_principal_id}/synchronization/templates,servicePrincipals.synchronization.CreateTemplates,
azuread.service_principals.synchronization_templates,delete,delete_templates,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id},servicePrincipals.synchronization.DeleteTemplates,
azuread.service_principals.synchronization_templates_schema,select,get_schema,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id}/schema,servicePrincipals.synchronization.templates.GetSchema,synchronizationSchema
azuread.service_principals.synchronization_templates_schema,delete,delete_schema,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id}/schema,servicePrincipals.synchronization.templates.DeleteSchema,
azuread.service_principals.synchronization_templates_schema_directories,select,list_directories,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id}/schema/directories,servicePrincipals.synchronization.templates.schema.ListDirectories,directoryDefinitionCollectionResponse
azuread.service_principals.synchronization_templates_schema_directories,select,get_directories,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id}/schema/directories/{directory_definition_id},servicePrincipals.synchronization.templates.schema.GetDirectories,directoryDefinition
azuread.service_principals.synchronization_templates_schema_directories,insert,create_directories,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id}/schema/directories,servicePrincipals.synchronization.templates.schema.CreateDirectories,
azuread.service_principals.synchronization_templates_schema_directories,delete,delete_directories,/servicePrincipals/{service_principal_id}/synchronization/templates/{synchronization_template_id}/schema/directories/{directory_definition_id},servicePrincipals.synchronization.templates.schema.DeleteDirectories,
azuread.service_principals.token_issuance_policies,select,list_token_issuance_policies,/servicePrincipals/{service_principal_id}/tokenIssuancePolicies,servicePrincipals.ListTokenIssuancePolicies,tokenIssuancePolicyCollectionResponse
azuread.service_principals.token_issuance_policies,select,get_token_issuance_policies,/servicePrincipals/{service_principal_id}/tokenIssuancePolicies/{token_issuance_policy_id},servicePrincipals.GetTokenIssuancePolicies,tokenIssuancePolicy
azuread.service_principals.token_lifetime_policies,select,list_token_lifetime_policies,/servicePrincipals/{service_principal_id}/tokenLifetimePolicies,servicePrincipals.ListTokenLifetimePolicies,tokenLifetimePolicyCollectionResponse
azuread.service_principals.token_lifetime_policies,select,get_token_lifetime_policies,/servicePrincipals/{service_principal_id}/tokenLifetimePolicies/{token_lifetime_policy_id},servicePrincipals.GetTokenLifetimePolicies,tokenLifetimePolicy
azuread.service_principals.transitive_member_of,select,list_transitive_member_of,/servicePrincipals/{service_principal_id}/transitiveMemberOf,servicePrincipals.ListTransitiveMemberOf,directoryObjectCollectionResponse
azuread.service_principals.transitive_member_of,select,get_transitive_member_of,/servicePrincipals/{service_principal_id}/transitiveMemberOf/{directory_object_id},servicePrincipals.GetTransitiveMemberOf,directoryObject
azuread.service_principals.service_principal_service_principal_by_app_id,select,get_service_principal_by_app_id,/servicePrincipals(appId='{app_id}'),servicePrincipals.servicePrincipal.GetServicePrincipalByAppId,servicePrincipal
azuread.service_principals.service_principal_service_principal_by_app_id,delete,delete_service_principal_by_app_id,/servicePrincipals(appId='{app_id}'),servicePrincipals.servicePrincipal.DeleteServicePrincipalByAppId,
