resourceId,sqlVerb,ref,path,tokens,operationId,respSchema
azuread.users.user,select,list_user,/users,,users.user.ListUser,userCollectionResponse
azuread.users.user,select,get_user,/users/{user_id},user_id,users.user.GetUser,user
azuread.users.user,insert,create_user,/users,,users.user.CreateUser,
azuread.users.user,delete,delete_user,/users/{user_id},{user_id},users.user.DeleteUser,
azuread.users.activities,select,list_activities,/users/{user_id}/activities,user_id,users.ListActivities,userActivityCollectionResponse
azuread.users.activities,select,get_activities,/users/{user_id}/activities/{user_activity_id},"user_id,user_activity_id",users.GetActivities,userActivity
azuread.users.activities,insert,create_activities,/users/{user_id}/activities,{user_id},users.CreateActivities,
azuread.users.activities,delete,delete_activities,/users/{user_id}/activities/{user_activity_id},"{user_id},{user_activity_id}",users.DeleteActivities,
azuread.users.activities_history_items,select,list_history_items,/users/{user_id}/activities/{user_activity_id}/historyItems,"user_id,user_activity_id",users.activities.ListHistoryItems,activityHistoryItemCollectionResponse
azuread.users.activities_history_items,select,get_history_items,/users/{user_id}/activities/{user_activity_id}/historyItems/{activity_history_item_id},"user_id,user_activity_id,activity_history_item_id",users.activities.GetHistoryItems,activityHistoryItem
azuread.users.activities_history_items,insert,create_history_items,/users/{user_id}/activities/{user_activity_id}/historyItems,"{user_id},{user_activity_id}",users.activities.CreateHistoryItems,
azuread.users.activities_history_items,delete,delete_history_items,/users/{user_id}/activities/{user_activity_id}/historyItems/{activity_history_item_id},"{user_id},{user_activity_id},{activity_history_item_id}",users.activities.DeleteHistoryItems,
azuread.users.activities_history_items_activity,select,get_activity,/users/{user_id}/activities/{user_activity_id}/historyItems/{activity_history_item_id}/activity,"user_id,user_activity_id,activity_history_item_id",users.activities.historyItems.GetActivity,userActivity
azuread.users.agreement_acceptances,select,list_agreement_acceptances,/users/{user_id}/agreementAcceptances,user_id,users.ListAgreementAcceptances,agreementAcceptanceCollectionResponse
azuread.users.agreement_acceptances,select,get_agreement_acceptances,/users/{user_id}/agreementAcceptances/{agreement_acceptance_id},"user_id,agreement_acceptance_id",users.GetAgreementAcceptances,agreementAcceptance
azuread.users.app_role_assignments,select,list_app_role_assignments,/users/{user_id}/appRoleAssignments,user_id,users.ListAppRoleAssignments,appRoleAssignmentCollectionResponse
azuread.users.app_role_assignments,select,get_app_role_assignments,/users/{user_id}/appRoleAssignments/{app_role_assignment_id},"user_id,app_role_assignment_id",users.GetAppRoleAssignments,appRoleAssignment
azuread.users.app_role_assignments,insert,create_app_role_assignments,/users/{user_id}/appRoleAssignments,{user_id},users.CreateAppRoleAssignments,
azuread.users.app_role_assignments,delete,delete_app_role_assignments,/users/{user_id}/appRoleAssignments/{app_role_assignment_id},"{user_id},{app_role_assignment_id}",users.DeleteAppRoleAssignments,
azuread.users.authentication,select,get_authentication,/users/{user_id}/authentication,user_id,users.GetAuthentication,authentication
azuread.users.authentication,delete,delete_authentication,/users/{user_id}/authentication,{user_id},users.DeleteAuthentication,
azuread.users.authentication_email_methods,select,list_email_methods,/users/{user_id}/authentication/emailMethods,user_id,users.authentication.ListEmailMethods,emailAuthenticationMethodCollectionResponse
azuread.users.authentication_email_methods,select,get_email_methods,/users/{user_id}/authentication/emailMethods/{email_authentication_method_id},"user_id,email_authentication_method_id",users.authentication.GetEmailMethods,emailAuthenticationMethod
azuread.users.authentication_email_methods,insert,create_email_methods,/users/{user_id}/authentication/emailMethods,{user_id},users.authentication.CreateEmailMethods,
azuread.users.authentication_email_methods,delete,delete_email_methods,/users/{user_id}/authentication/emailMethods/{email_authentication_method_id},"{user_id},{email_authentication_method_id}",users.authentication.DeleteEmailMethods,
azuread.users.authentication_fido2methods,select,list_fido2_methods,/users/{user_id}/authentication/fido2Methods,user_id,users.authentication.ListFido2Methods,fido2AuthenticationMethodCollectionResponse
azuread.users.authentication_fido2methods,select,get_fido2_methods,/users/{user_id}/authentication/fido2Methods/{fido2_authentication_method_id},"user_id,fido2_authentication_method_id",users.authentication.GetFido2Methods,fido2AuthenticationMethod
azuread.users.authentication_fido2methods,delete,delete_fido2_methods,/users/{user_id}/authentication/fido2Methods/{fido2_authentication_method_id},"{user_id},{fido2_authentication_method_id}",users.authentication.DeleteFido2Methods,
azuread.users.authentication_methods,select,list_methods,/users/{user_id}/authentication/methods,user_id,users.authentication.ListMethods,authenticationMethodCollectionResponse
azuread.users.authentication_methods,select,get_methods,/users/{user_id}/authentication/methods/{authentication_method_id},"user_id,authentication_method_id",users.authentication.GetMethods,authenticationMethod
azuread.users.authentication_methods,insert,create_methods,/users/{user_id}/authentication/methods,{user_id},users.authentication.CreateMethods,
azuread.users.authentication_microsoft_authenticator_methods,select,list_microsoft_authenticator_methods,/users/{user_id}/authentication/microsoftAuthenticatorMethods,user_id,users.authentication.ListMicrosoftAuthenticatorMethods,microsoftAuthenticatorAuthenticationMethodCollectionResponse
azuread.users.authentication_microsoft_authenticator_methods,select,get_microsoft_authenticator_methods,/users/{user_id}/authentication/microsoftAuthenticatorMethods/{microsoft_authenticator_authentication_method_id},"user_id,microsoft_authenticator_authentication_method_id",users.authentication.GetMicrosoftAuthenticatorMethods,microsoftAuthenticatorAuthenticationMethod
azuread.users.authentication_microsoft_authenticator_methods,delete,delete_microsoft_authenticator_methods,/users/{user_id}/authentication/microsoftAuthenticatorMethods/{microsoft_authenticator_authentication_method_id},"{user_id},{microsoft_authenticator_authentication_method_id}",users.authentication.DeleteMicrosoftAuthenticatorMethods,
azuread.users.authentication_microsoft_authenticator_methods_device,select,get_device,/users/{user_id}/authentication/microsoftAuthenticatorMethods/{microsoft_authenticator_authentication_method_id}/device,"user_id,microsoft_authenticator_authentication_method_id",users.authentication.microsoftAuthenticatorMethods.GetDevice,device
azuread.users.authentication_operations,select,list_operations,/users/{user_id}/authentication/operations,user_id,users.authentication.ListOperations,longRunningOperationCollectionResponse
azuread.users.authentication_operations,select,get_operations,/users/{user_id}/authentication/operations/{long_running_operation_id},"user_id,long_running_operation_id",users.authentication.GetOperations,longRunningOperation
azuread.users.authentication_operations,insert,create_operations,/users/{user_id}/authentication/operations,{user_id},users.authentication.CreateOperations,
azuread.users.authentication_operations,delete,delete_operations,/users/{user_id}/authentication/operations/{long_running_operation_id},"{user_id},{long_running_operation_id}",users.authentication.DeleteOperations,
